Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
10695693,0000_0000,F,DEGR,20_21     ,Indian,M,ENGLISH,Unemployed,RANDBURG,Gauteng,1.0
11598365,0000_0000,F,DEGR,24_25     ,African,M,ISIZULU,Unemployed,DURBAN,KwaZulu-Natal,1.0
12186470,1051_1100,F,DEGR,20_21     ,African,F,SESOTHO,Employed,ALBERTON,Gauteng,1.0
11599795,1201_1300,T,DEGR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1.0
11332505,0000_0000,F,DEGR,20_21     ,African,M,ENGLISH,Unemployed,BOKSBURG,Gauteng,1.0
10701413,1301_1400,T,DEGR,24_25     ,African,F,ENGLISH,Unemployed,UMTATA,Eastern Cape,1.0
10704277,1301_1400,T,MATR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1.0
11604373,1201_1300,T,DEGR,24_25     ,African,F,XITSONGA,Student,MAPULANENG,North Eastern,1.0
11605690,0000_0000,T,DEGR,24_25     ,Coloured,M,ENGLISH,Unemployed,ROODEPOORT,Gauteng,1.0
10399590,1051_1100,F,DIPL,26_28     ,African,F,SISWATI,Unemployed,NKOMAZI,North Eastern,1.0
12192211,1101_1150,T,DEGR,26_28     ,African,M,ISIZULU,Unemployed,DURBAN,KwaZulu-Natal,1.0
12192405,1001_1050,T,DIPL,26_28     ,African,F,TSHIVENDA,Unemployed,THOHOYANDOU,North Eastern,1.0
12193555,0901_0950,F,DIPL,24_25     ,African,M,NORTHERN SOTHO,Unemployed,WONDERBOOM,Gauteng,1.0
10400402,0000_0000,T,KWAL,35_40     ,African,F,ENGLISH,Employed,Unknown,Unknown,1.0
10713562,0000_0000,F,DEGR,24_25     ,African,M,ISIZULU,Unemployed,BENONI,Gauteng,1.0
11028952,1051_1100,F,DEGR,22_23     ,African,F,ISIXHOSA,Unemployed,QUEENSTOWN,Eastern Cape,1.0
10405229,0951_1000,T,DIPL,22_23     ,African,M,NORTHERN SOTHO,Employed,VANDERBIJLPARK,Gauteng,1.0
10407372,0000_0000,F,DIPL,22_23     ,African,F,ISIZULU,Employed,LOWER UMFOLOZI,KwaZulu-Natal,1.0
10408023,1201_1300,T,DEGR,24_25     ,African,F,SESOTHO,Unemployed,BOTSHABELO,Midlands,1.0
11357050,1301_1400,F,DEGR,20_21     ,White,F,AFR/ENG,Employed,BELLVILLE,Western Cape,1.0
11608247,1401_3000,T,DEGR,22_23     ,African,M,ISIZULU,Unemployed,NONGOMA,KwaZulu-Natal,1.0
11609270,1301_1400,T,DEGR,24_25     ,African,F,NORTHERN SOTHO,Employed,ALBERTON,Gauteng,1.0
10413232,0000_0000,T,KWAL,26_28     ,African,M,ENGLISH,Employed,NEBO,North Eastern,1.0
11360555,1151_1200,T,MATR,35_40     ,African,F,NORTHERN SOTHO,Employed,KEMPTON PARK,Gauteng,1.0
11614719,1401_3000,T,DEGR,24_25     ,Coloured,M,AFRIKAANS,Unemployed,CALEDON,Western Cape,1.0
11366007,1051_1100,F,DIPL,20_21     ,African,M,SETSWANA,Employed,BRITS,Midlands,1.0
10726084,1401_3000,F,MATR,35_40     ,White,M,AFRIKAANS,Employed,BRITS,Midlands,1.0
10726149,1301_1400,T,DEGR,26_28     ,African,F,ISIZULU,Employed,INANDA,KwaZulu-Natal,1.0
10726192,0951_1000,T,SENR,29_34     ,African,F,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
11035824,0000_0000,F,DEGR,22_23     ,African,F,OTHER AFRICAN LANGUAGES,Unemployed,DURBAN,KwaZulu-Natal,1.0
11036014,1101_1150,T,DEGR,22_23     ,African,M,ISIZULU,Unemployed,VRYHEID,KwaZulu-Natal,1.0
11036402,0951_1000,F,DIPL,20_21     ,African,F,ISINDEBELE,Unemployed,GROBLERSDAL,North Eastern,1.0
11618970,0000_0000,F,DEGR,22_23     ,African,F,OTHER AFRICAN LANGUAGES,Unemployed,SOSHANGUWE,Gauteng,1.0
