Matric_Aggregate_Group;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
1201_1300;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0851_0900;F;DIPL;24_25     ;African;F;SISWATI;Unemployed;GARANKUWA;Midlands;1
0000_0000;F;HCER;29_34     ;African;F;ISIZULU;Unemployed;HLABISA;KwaZulu-Natal;1
0951_1000;T;DIPL;24_25     ;Indian;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
1001_1050;T;DEGR;29_34     ;African;M;ISIXHOSA;Employed;MT FLETCHER;Eastern Cape;1
0001_0600;T;SENR;29_34     ;African;F;ISIZULU;Unemployed;PIETERMARITZBURG;KwaZulu-Natal;1
0851_0900;F;DIPL;22_23     ;African;M;ISIZULU;Unemployed;UMZINTO;KwaZulu-Natal;1
1151_1200;T;DEGR;24_25     ;African;F;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
1201_1300;T;DEGR;24_25     ;African;M;ISIZULU;Student;JOHANNESBURG;Gauteng;1
1001_1050;F;DEGR;26_28     ;African;F;ISIXHOSA;Unemployed;UITENHAGE;Eastern Cape;1
1101_1150;T;MATR;29_34     ;African;F;NORTHERN SOTHO;Employed;SESHEGO;North Eastern;1
0951_1000;T;MATR;29_34     ;African;M;XITSONGA;Employed;RITAVI;North Eastern;1
1201_1300;T;DEGR;24_25     ;African;F;XITSONGA;Employed;KEMPTON PARK;Gauteng;1
0951_1000;T;DIPL;22_23     ;African;M;ISIXHOSA;Unemployed;EAST LONDON;Eastern Cape;1
0000_0000;T;DEGR;24_25     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
0000_0000;T;DEGR;26_28     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;DEGR;24_25     ;White;M;AFR/ENG;Unemployed;PRETORIA;Gauteng;1
0951_1000;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
1051_1100;F;DEGR;20_21     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;DEGR;29_34     ;African;M;TSHIVENDA;Employed;VUWANI;North Eastern;1
1051_1100;T;DEGR;26_28     ;African;M;SESOTHO;Employed;GERMISTON;Gauteng;1
1301_1400;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
1201_1300;T;DEGR;22_23     ;White;M;AFRIKAANS;Employed;STELLENBOSCH;Western Cape;1
1101_1150;T;SENR;35_40     ;Coloured;M;AFRIKAANS;Employed;HUMANSDORP;Eastern Cape;1
1001_1050;T;DEGR;22_23     ;White;M;AFR/ENG;Unemployed;PORT SHEPSTONE;KwaZulu-Natal;1
1001_1050;F;DEGR;20_21     ;African;F;NORTHERN SOTHO;Unemployed;HIGHVELD RIDGE;North Eastern;1
1151_1200;T;MATR;41_50     ;White;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;DEGR;20_21     ;African;M;TSHIVENDA;Employed;PRETORIA;Gauteng;1
0000_0000;T;DEGR;26_28     ;African;F;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;KWAL;29_34     ;African;M;ENGLISH;Employed;BELLVILLE;Western Cape;1
0000_0000;F;DIPL;24_25     ;African;M;ISIZULU;Unemployed;INGWAVUMA;KwaZulu-Natal;1
1301_1400;T;DEGR;26_28     ;African;F;ISIZULU;Employed;ESHOWE;KwaZulu-Natal;1
1301_1400;F;DEGR;22_23     ;African;M;SESOTHO;Unemployed;MAPULANENG;North Eastern;1
0000_0000;T;DEGR;24_25     ;White;F;ENGLISH;Unemployed;LADY GREY;Eastern Cape;1
0901_0950;F;DIPL;22_23     ;African;M;SETSWANA;Employed;KLERKSDORP;Midlands;1
1201_1300;T;DEGR;26_28     ;African;F;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
1201_1300;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
0000_0000;T;DEGR;22_23     ;African;M;SHONA;Employed;BELLVILLE;Western Cape;1
1151_1200;F;DEGR;20_21     ;African;M;SETSWANA;Unemployed;GARANKUWA;Midlands;1
0000_0000;F;DEGR;20_21     ;African;F;SESOTHO;Unemployed;PRETORIA;Gauteng;1
1301_1400;T;SENR;29_34     ;African;M;ISIXHOSA;Employed;BLOEMFONTEIN;Midlands;1
0901_0950;F;DIPL;22_23     ;African;M;TSHIVENDA;Employed;DZANANI;North Eastern;1
1101_1150;T;DEGR;20_21     ;African;F;NORTHERN SOTHO;Employed;NAMAKGALE;North Eastern;1
1001_1050;T;MATR;41_50     ;African;M;ISIZULU;Unemployed;PINETOWN;KwaZulu-Natal;1
1201_1300;T;MATR;35_40     ;Coloured;M;AFRIKAANS;Employed;WYNBERG;Western Cape;1
0000_0000;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;JOHANNESBURG;Gauteng;1
1051_1100;T;DIPL;24_25     ;African;F;ISIZULU;Employed;DURBAN;KwaZulu-Natal;1
1201_1300;T;DEGR;26_28     ;African;M;TSHIVENDA;Unemployed;JOHANNESBURG;Gauteng;1
1051_1100;T;DEGR;26_28     ;African;M;ENGLISH;Employed;ROODEPOORT;Gauteng;1
1201_1300;T;DEGR;22_23     ;African;F;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
0000_0000;T;KWAL;35_40     ;African;M;ENGLISH;Employed;PRETORIA;Gauteng;1
0000_0000;T;DEGR;26_28     ;African;F;TSHIVENDA;Employed;PRETORIA;Gauteng;1
0000_0000;T;DEGR;24_25     ;African;M;ENGLISH;Unemployed;BELLVILLE;Western Cape;1
1101_1150;T;SENR;29_34     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
1201_1300;T;DEGR;26_28     ;African;M;SESOTHO;Unemployed;WESTONARIA;Gauteng;1
0000_0000;F;DEGR;29_34     ;White;M;AFRIKAANS;Employed;HIGHVELD RIDGE;North Eastern;1
0001_0600;T;KWAL;26_28     ;African;M;SESOTHO;Employed;JOHANNESBURG;Gauteng;1
1051_1100;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;PORT ELIZABETH;Eastern Cape;1
1151_1200;T;DEGR;26_28     ;African;F;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
1201_1300;T;MATR;35_40     ;African;M;SESOTHO;Employed;LADYBRAND;Midlands;1
1201_1300;F;MATR;35_40     ;White;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
1301_1400;F;DEGR;20_21     ;White;F;ENGLISH;Unemployed;BELLVILLE;Western Cape;1
0901_0950;F;DIPL;26_28     ;African;F;ISINDEBELE;Unemployed;MDUTJANA;North Eastern;1
