Student_Number;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
10685949;F;DEGR;20_21     ;White;F;AFR/ENG;Unemployed;GERMISTON;Gauteng;1
10688867;T;DEGR;24_25     ;Indian;F;ENGLISH;Employed;INANDA;KwaZulu-Natal;1
11589498;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;MDUTJANA;North Eastern;1
12181433;F;DIPL;26_28     ;African;M;SESOTHO;Employed;WELKOM;Midlands;1
12181638;T;DIPL;29_34     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
12182351;F;DIPL;20_21     ;African;M;ISIXHOSA;Employed;BENONI;Gauteng;1
11592122;F;DEGR;26_28     ;African;F;ISIZULU;Unemployed;HLABISA;KwaZulu-Natal;1
11592367;F;DEGR;22_23     ;African;M;ISIZULU;Employed;ALBERTON;Gauteng;1
11596656;T;ONBK;26_28     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
10692190;T;DEGR;29_34     ;African;M;TSHIVENDA;Employed;KEMPTON PARK;Gauteng;1
10695693;F;DEGR;20_21     ;Indian;M;ENGLISH;Unemployed;RANDBURG;Gauteng;1
11598365;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
12186470;F;DEGR;20_21     ;African;F;SESOTHO;Employed;ALBERTON;Gauteng;1
11599795;T;DEGR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
11332505;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;BOKSBURG;Gauteng;1
10701413;T;DEGR;24_25     ;African;F;ENGLISH;Unemployed;UMTATA;Eastern Cape;1
10704277;T;MATR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
11604373;T;DEGR;24_25     ;African;F;XITSONGA;Student;MAPULANENG;North Eastern;1
11605690;T;DEGR;24_25     ;Coloured;M;ENGLISH;Unemployed;ROODEPOORT;Gauteng;1
10399590;F;DIPL;26_28     ;African;F;SISWATI;Unemployed;NKOMAZI;North Eastern;1
12192211;T;DEGR;26_28     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
12192405;T;DIPL;26_28     ;African;F;TSHIVENDA;Unemployed;THOHOYANDOU;North Eastern;1
12193555;F;DIPL;24_25     ;African;M;NORTHERN SOTHO;Unemployed;WONDERBOOM;Gauteng;1
10400402;T;KWAL;35_40     ;African;F;ENGLISH;Employed;Unknown;Unknown;1
10713562;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;BENONI;Gauteng;1
11028952;F;DEGR;22_23     ;African;F;ISIXHOSA;Unemployed;QUEENSTOWN;Eastern Cape;1
10405229;T;DIPL;22_23     ;African;M;NORTHERN SOTHO;Employed;VANDERBIJLPARK;Gauteng;1
10407372;F;DIPL;22_23     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
10408023;T;DEGR;24_25     ;African;F;SESOTHO;Unemployed;BOTSHABELO;Midlands;1
11357050;F;DEGR;20_21     ;White;F;AFR/ENG;Employed;BELLVILLE;Western Cape;1
11608247;T;DEGR;22_23     ;African;M;ISIZULU;Unemployed;NONGOMA;KwaZulu-Natal;1
11609270;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Employed;ALBERTON;Gauteng;1
10413232;T;KWAL;26_28     ;African;M;ENGLISH;Employed;NEBO;North Eastern;1
11360555;T;MATR;35_40     ;African;F;NORTHERN SOTHO;Employed;KEMPTON PARK;Gauteng;1
11614719;T;DEGR;24_25     ;Coloured;M;AFRIKAANS;Unemployed;CALEDON;Western Cape;1
11366007;F;DIPL;20_21     ;African;M;SETSWANA;Employed;BRITS;Midlands;1
10726084;F;MATR;35_40     ;White;M;AFRIKAANS;Employed;BRITS;Midlands;1
10726149;T;DEGR;26_28     ;African;F;ISIZULU;Employed;INANDA;KwaZulu-Natal;1
10726192;T;SENR;29_34     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
11035824;F;DEGR;22_23     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;DURBAN;KwaZulu-Natal;1
11036014;T;DEGR;22_23     ;African;M;ISIZULU;Unemployed;VRYHEID;KwaZulu-Natal;1
11036402;F;DIPL;20_21     ;African;F;ISINDEBELE;Unemployed;GROBLERSDAL;North Eastern;1
11618970;F;DEGR;22_23     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;SOSHANGUWE;Gauteng;1
11620452;T;DEGR;29_34     ;African;M;SISWATI;Unemployed;NKOMAZI;North Eastern;1
11368305;T;DEGR;29_34     ;African;M;ISINDEBELE;Employed;RANDBURG;Gauteng;1
10729981;T;DEGR;26_28     ;African;M;XITSONGA;Unemployed;GIYANI;North Eastern;1
11621375;F;DIPL;26_28     ;African;F;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
11624269;T;KWAL;29_34     ;African;F;ENGLISH;Employed;STELLENBOSCH;Western Cape;1
12209478;F;DEGR;20_21     ;White;M;AFRIKAANS;Employed;PRETORIA;Gauteng;1
12210654;F;DEGR;22_23     ;African;M;XITSONGA;Unemployed;MOKERONG;North Eastern;1
12211073;F;DEGR;18_19     ;White;M;AFR/ENG;Employed;ALBERTON;Gauteng;1
10735051;T;DIPL;22_23     ;African;M;NORTHERN SOTHO;Unemployed;BOKSBURG;Gauteng;1
10736667;T;DEGR;24_25     ;African;F;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
10413690;T;VOOR;18_19     ;White;M;ENGLISH;Unemployed;GOODWOOD;Western Cape;1
10413787;T;DIPL;26_28     ;African;F;ISIXHOSA;Unemployed;PINETOWN;KwaZulu-Natal;1
10414414;T;DEGR;26_28     ;African;M;XITSONGA;Employed;RANDBURG;Gauteng;1
11626509;F;DEGR;20_21     ;African;M;OTHER FOREIGN LANGUAGES;Employed;JOHANNESBURG;Gauteng;1
11627422;T;DEGR;20_21     ;African;M;ISIZULU;Unemployed;ROODEPOORT;Gauteng;1
11628124;T;DEGR;22_23     ;African;F;SESOTHO;Unemployed;ALFRED;KwaZulu-Natal;1
12213033;T;DIPL;26_28     ;African;F;XITSONGA;Employed;VEREENIGING;Gauteng;1
12213680;T;DEGR;26_28     ;African;M;XITSONGA;Employed;PRETORIA;Gauteng;1
10417801;F;DEGR;26_28     ;African;F;SETSWANA;Employed;JOHANNESBURG;Gauteng;1
11632760;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
11632892;F;DIPL;24_25     ;African;F;SISWATI;Unemployed;GARANKUWA;Midlands;1
11398587;F;HCER;29_34     ;African;F;ISIZULU;Unemployed;HLABISA;KwaZulu-Natal;1
11400867;T;DIPL;24_25     ;Indian;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
11402223;T;DEGR;29_34     ;African;M;ISIXHOSA;Employed;MT FLETCHER;Eastern Cape;1
12219066;T;SENR;29_34     ;African;F;ISIZULU;Unemployed;PIETERMARITZBURG;KwaZulu-Natal;1
10753227;F;DIPL;22_23     ;African;M;ISIZULU;Unemployed;UMZINTO;KwaZulu-Natal;1
10429985;T;DEGR;24_25     ;African;F;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
11062449;T;DEGR;24_25     ;African;M;ISIZULU;Student;JOHANNESBURG;Gauteng;1
11073192;F;DEGR;26_28     ;African;F;ISIXHOSA;Unemployed;UITENHAGE;Eastern Cape;1
10437182;T;MATR;29_34     ;African;F;NORTHERN SOTHO;Employed;SESHEGO;North Eastern;1
11413624;T;MATR;29_34     ;African;M;XITSONGA;Employed;RITAVI;North Eastern;1
11414202;T;DEGR;24_25     ;African;F;XITSONGA;Employed;KEMPTON PARK;Gauteng;1
11415759;T;DIPL;22_23     ;African;M;ISIXHOSA;Unemployed;EAST LONDON;Eastern Cape;1
11417786;T;DEGR;24_25     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
11079605;T;DEGR;26_28     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
10097079;T;DEGR;24_25     ;White;M;AFR/ENG;Unemployed;PRETORIA;Gauteng;1
11651568;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
11421050;F;DEGR;20_21     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
10441260;T;DEGR;29_34     ;African;M;TSHIVENDA;Employed;VUWANI;North Eastern;1
11082857;T;DEGR;26_28     ;African;M;SESOTHO;Employed;GERMISTON;Gauteng;1
11085147;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
12225530;T;DEGR;22_23     ;White;M;AFRIKAANS;Employed;STELLENBOSCH;Western Cape;1
10108739;T;SENR;35_40     ;Coloured;M;AFRIKAANS;Employed;HUMANSDORP;Eastern Cape;1
10111562;T;DEGR;22_23     ;White;M;AFR/ENG;Unemployed;PORT SHEPSTONE;KwaZulu-Natal;1
11658810;F;DEGR;20_21     ;African;F;NORTHERN SOTHO;Unemployed;HIGHVELD RIDGE;North Eastern;1
11435415;T;MATR;41_50     ;White;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
